13,7,149
14,7,125
15,7,101
16,7,79
17,7,55
18,7,94
19,7,253
23,7,73
26,7,132
27,7,176
29,7,182
30,7,197
31,7,201
33,7,219
34,7,241
35,7,263
38,7,293
1,7,595
14,13,24
15,13,48
16,13,70
17,13,94
18,13,151
19,13,104
23,13,112
26,13,189
27,13,233
29,13,239
30,13,254
31,13,258
33,13,276
34,13,298
35,13,320
38,13,382
1,13,652
15,14,24
16,14,46
17,14,70
18,14,127
19,14,128
23,14,88
26,14,165
27,14,209
29,14,215
30,14,230
31,14,234
33,14,252
34,14,274
35,14,296
38,14,358
1,14,628
16,15,22
17,15,46
18,15,103
19,15,152
23,15,64
26,15,141
27,15,185
29,15,191
30,15,206
31,15,210
33,15,228
34,15,250
35,15,272
38,15,334
1,15,604
17,16,24
18,16,81
19,16,174
23,16,42
26,16,119
27,16,163
29,16,169
30,16,184
31,16,188
33,16,206
34,16,228
35,16,250
38,16,312
1,16,582
18,17,57
19,17,198
23,17,18
26,17,95
27,17,139
29,17,145
30,17,160
31,17,164
33,17,182
34,17,204
35,17,226
38,17,288
1,17,558
19,18,255
23,18,75
26,18,38
27,18,82
29,18,88
30,18,103
31,18,107
33,18,125
34,18,147
35,18,169
38,18,231
1,18,501
23,19,216
26,19,293
27,19,337
29,19,343
30,19,358
31,19,362
33,19,380
34,19,402
35,19,424
38,19,486
1,19,756
26,23,113
27,23,157
29,23,163
30,23,178
31,23,182
33,23,200
34,23,222
35,23,244
38,23,306
1,23,576
27,26,44
29,26,50
30,26,65
31,26,69
33,26,87
34,26,109
35,26,131
38,26,193
1,26,463
29,27,33
30,27,21
31,27,25
33,27,49
34,27,71
35,27,93
38,27,155
1,27,446
30,29,30
31,29,34
33,29,37
34,29,59
35,29,81
38,29,143
1,29,413
31,30,4
33,30,28
34,30,50
35,30,72
38,30,134
1,30,443
33,31,24
34,31,46
35,31,68
38,31,130
1,31,440
34,33,22
35,33,44
38,33,106
1,33,416
35,34,22
38,34,84
1,34,394
38,35,62
1,35,372
1,38,310
